안전조직수준,위원회수준,인증보유,위험성평가수준,교육훈련도움,정리정돈상태,작업중지권,작업반장기여,전문지도,고용노동부감독,안전보건공단지원,공사규모,발주처,기성공정률,공사종류,외국인비율,사고발생
1,0,0,2,5,4,4,4,0,0,0,1,1,6,7,0.0,0
2,2,0,2,5,5,5,5,0,0,0,2,2,1,6,0.0,0
2,2,1,2,3,3,2,2,0,1,1,3,2,6,3,20.0,1
2,2,0,2,5,5,5,5,0,1,1,1,2,4,4,40.0,0
2,2,0,2,5,5,5,5,0,0,0,1,2,3,1,60.0,1
2,2,0,2,4,5,5,3,0,0,1,2,1,2,1,0.0,0
2,2,1,2,5,5,5,4,1,1,1,3,2,4,3,10.0,1
2,2,0,2,3,5,3,5,0,0,0,2,2,4,3,0.0,0
2,2,1,2,4,5,5,5,1,0,0,2,2,1,4,37.5,1
2,2,1,2,5,4,5,4,0,0,1,2,1,4,1,9.8,0
2,2,0,2,4,4,4,4,1,1,1,2,2,6,4,3.33,0
2,2,0,2,4,4,4,4,1,0,0,2,2,2,4,50.0,0
2,2,1,2,5,4,5,5,0,0,1,3,1,1,5,10.0,0
2,1,0,0,5,5,5,5,0,0,0,1,2,5,4,0.0,0
2,2,0,2,4,3,4,4,0,0,0,1,2,3,3,43.48,0
2,2,0,2,3,4,5,3,1,1,1,3,3,5,1,24.55,1
2,2,1,2,5,5,5,5,0,0,1,2,1,6,6,0.0,0
2,2,0,0,4,4,4,4,0,0,0,2,1,1,7,0.0,0
2,2,1,2,4,5,5,3,0,0,1,3,1,1,5,0.0,0
2,2,0,2,5,4,4,4,0,1,1,1,1,3,4,0.0,1
2,2,0,2,5,5,5,5,0,0,1,2,2,2,3,15.0,0
2,1,0,2,5,4,5,5,1,0,0,2,2,2,3,20.0,0
1,0,0,1,4,3,3,4,1,1,1,1,2,2,3,40.0,0
2,2,1,2,5,3,4,2,1,1,1,3,1,6,1,27.91,1
1,2,0,2,4,4,4,5,1,1,1,1,2,6,3,35.71,0
1,0,0,0,5,3,3,4,1,1,1,1,2,2,1,0.0,0
2,1,1,2,4,4,4,4,0,0,1,2,1,2,5,0.0,0
2,2,1,2,4,4,4,4,0,0,0,2,3,3,3,4.96,1
1,0,0,2,4,4,4,4,0,0,1,2,2,2,3,0.0,0
2,2,0,2,3,4,5,3,0,1,1,3,2,3,1,23.08,1
2,2,0,2,5,3,4,4,0,0,1,3,2,1,4,60.0,1
2,2,0,2,5,5,5,4,1,1,1,2,2,1,1,0.0,0
2,2,1,2,3,5,4,4,0,0,0,2,1,1,7,0.0,0
2,2,0,2,4,4,5,4,0,1,1,3,1,3,5,4.0,0
2,0,0,2,5,4,5,4,0,0,0,1,2,6,7,0.0,0
2,2,0,0,5,4,5,5,0,0,1,2,2,1,1,0.0,0
2,2,0,2,3,3,3,4,0,1,1,1,3,3,3,6.0,0
1,0,0,2,4,4,4,4,0,0,1,1,2,2,3,20.0,0
2,2,0,2,4,3,4,4,0,0,0,2,2,2,1,80.0,0
2,2,0,2,4,4,4,4,0,0,1,1,3,1,1,25.0,1
2,2,0,2,2,4,2,5,0,1,1,1,1,4,6,0.0,0
1,0,1,2,5,5,5,5,0,0,1,1,2,1,3,0.0,0
2,2,0,2,5,5,5,4,1,0,1,2,1,2,4,0.0,0
1,2,0,2,4,3,4,3,0,1,1,1,2,3,3,4.17,0
2,2,0,2,5,4,5,5,0,1,1,1,2,3,4,43.33,1
2,2,0,2,4,4,4,4,0,1,1,2,2,3,3,12.5,1
2,2,0,2,4,4,5,5,1,1,1,2,2,4,3,46.15,1
2,2,1,2,5,4,5,4,0,1,1,2,2,3,1,55.56,1
1,2,0,0,5,5,5,4,0,0,1,2,2,2,3,0.0,0
2,2,1,2,5,4,5,5,1,0,0,2,2,1,3,0.0,0
2,2,0,2,5,5,5,5,0,1,0,1,2,1,1,10.0,1
2,2,0,2,5,5,5,5,0,0,1,2,2,1,1,20.0,0
1,2,0,2,3,2,4,2,1,1,1,2,3,3,4,50.0,1
1,2,0,2,3,3,4,3,0,0,1,1,3,1,3,0.0,0
2,2,1,2,4,4,4,3,1,0,1,3,3,1,4,6.67,0
2,2,1,2,5,5,5,5,1,1,0,2,2,3,1,64.44,0
2,0,0,2,4,4,4,3,1,1,1,1,3,3,3,66.67,0
2,0,1,2,3,4,4,4,0,0,0,1,2,3,4,0.0,0
2,2,0,2,4,5,5,5,1,1,1,2,2,2,1,40.0,1
2,2,1,2,5,5,5,5,0,0,1,2,2,6,3,0.0,0
1,0,1,0,4,1,4,4,0,1,0,1,2,1,3,50.0,0
1,2,1,2,4,4,4,5,0,1,1,2,2,3,3,33.33,1
1,2,1,2,5,4,5,4,0,1,1,2,2,4,3,37.5,1
2,2,1,2,4,4,4,4,0,0,0,3,2,2,4,16.3,0
1,0,0,1,4,4,5,5,1,1,1,1,3,3,3,33.33,0
2,1,0,2,4,4,4,4,0,0,1,2,2,1,4,0.0,0
2,2,0,2,5,5,5,4,0,0,1,2,3,2,2,30.0,0
2,2,0,2,5,5,5,5,1,1,1,2,2,3,3,21.62,1
2,2,0,2,3,5,5,4,0,1,1,2,2,4,3,15.56,0
2,1,0,2,5,4,5,5,0,1,1,2,2,3,3,0.0,0
2,2,1,2,5,4,4,5,1,1,1,2,2,4,3,20.0,0
1,0,0,2,4,3,4,3,0,1,1,1,2,4,3,0.0,1
2,2,0,2,5,5,5,4,0,0,1,1,2,2,3,0.0,0
2,2,0,2,4,4,4,4,0,0,1,3,1,4,5,14.55,0
2,2,1,0,5,3,4,5,1,0,1,3,3,2,1,51.47,0
2,2,1,2,5,4,3,4,0,1,1,2,2,6,4,5.56,1
1,0,0,2,5,5,5,5,1,1,1,1,1,2,4,66.67,0
0,2,0,2,3,3,3,4,0,0,1,1,1,4,6,0.0,1
1,2,0,2,3,4,4,4,0,1,0,1,2,3,1,53.33,0
2,2,1,1,2,2,5,4,0,1,1,3,3,5,1,18.42,1
2,2,1,1,4,4,5,5,0,0,0,3,2,1,1,0.0,0
2,2,1,2,4,4,4,5,1,1,1,2,3,1,4,20.0,0
2,2,1,2,4,4,4,3,1,1,1,2,1,1,4,0.0,0
2,2,0,2,5,4,5,4,1,0,1,3,1,2,5,0.0,0
2,2,0,2,4,3,4,4,0,0,1,1,1,2,4,0.0,1
2,0,0,2,5,4,5,4,0,1,1,1,2,2,4,3.33,0
2,2,0,1,3,4,4,3,0,1,1,2,2,4,1,50.0,0
2,2,1,2,4,4,5,5,1,0,0,2,2,2,1,16.67,0
2,1,0,2,4,3,3,3,0,1,1,2,2,3,4,31.25,1
2,2,0,2,4,4,4,4,1,0,1,3,2,1,1,0.0,0
2,2,1,2,5,5,5,5,1,0,0,2,2,1,3,0.0,0
1,2,0,2,3,2,5,3,0,1,1,1,2,2,3,50.0,1
2,2,0,0,5,5,4,4,0,1,1,1,2,1,4,0.0,0
1,2,1,2,5,5,5,5,0,0,1,2,1,3,3,0.0,0
2,2,1,2,5,4,5,4,0,1,1,3,1,4,5,28.67,1
1,1,0,2,4,3,4,3,0,1,1,2,2,2,1,45.45,1
2,0,0,2,3,3,3,3,1,0,1,1,2,5,3,0.0,0
2,1,1,1,3,3,3,3,0,1,1,2,1,2,1,55.56,0
2,2,1,2,5,5,5,5,0,1,1,2,2,6,4,0.0,0
1,2,0,0,5,5,5,5,1,1,1,1,2,4,2,60.0,0
2,2,0,2,4,4,4,2,1,1,1,3,1,3,5,18.18,0
2,2,1,2,5,5,5,4,1,1,1,3,2,2,4,60.0,0
1,2,0,2,4,5,4,4,0,1,1,1,2,2,3,24.0,1
2,2,1,2,4,3,5,4,0,0,0,2,2,1,3,28.57,0
