ID,SQ2,SQ3,Q1_3,Q1_4,Q1_5,Q2,Q3_1_1,Q3_1_2,Q3_1_3,Q3_1_4,Q3_1_5,Q3_1_6,Q3_1_7,Q3_1_8,Q3_2_1,Q3_2_2,Q3_2_3,Q3_2_4,Q3_2_5,Q3_2_6,Q4_1,Q4_2,Q4_3,Q4_4,Q5,Q6,Q6_1,Q6_2,Q7_1,Q7_1_1,Q7_1_2,Q7_2,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10,Q10_1,Q11,Q12_1,Q12_2,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q13_16,Q13_17,Q13_18,Q13_19,Q13_20,Q14,Q14_1,Q14_2_1,Q14_2_2,Q14_2_3,Q15_1_1,Q15_1_2,Q15_1_3,Q15_1_4,Q15_1_5,Q15_1_6,Q15_1_7,Q15_2_1,Q15_2_2,Q15_2_3,Q15_2_4,Q15_2_5,Q15_2_6,Q15_2_7,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17,Q16_18,Q17_1,Q17_2,Q17_3,Q17_4,Q18_1,Q18_2_1,Q18_2_2,Q18_3_1,Q18_3_2,Q18_3_3,Q18_3_4,Q19_1,Q19_2,Q19_2_1,Q19_3,Q20_1,Q20_2,Q20_2_1,Q20_3,Q21_1,Q21_2,Q22,Q23_1,Q23_2,Q24_1,Q24_2,Q25,Q25_1,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26T,Q26_1_1,Q26_1_2,Q26_1_3,Q26_1_4,Q26_1_5,Q26_1_6,Q26_1_7,Q26_1_8,Q27_1_1,Q27_1_2,Q27_1_3,Q27_2_1,Q27_2_2,Q27_2_3,Q27_3_1,Q27_3_2,Q27_3_3,Q27_4_1,Q27_4_2,Q27_4_3,Q28_1,Q28_2,Q28_3,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q30,Q30_1,Q31,Q31_1,Q32,Q32_1,Q33,Q33_1,Q34,code2,WT2
1,1,9,1,2,3,11,,,,,,,,,,,,,,,24,0,0,0,1,1,3,2,,,,,0,0,0,0,1,4,,1,2,1,2,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,3,3,2,2,,3,1,5,3,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,70,30,0,90,0,10,1,2,,,3,,,,3,,1,5,5,,,9999998,99,0,0,700,300,0,0,80,0,1080,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,10,,,,,,,,,,2,,2,,3,3,4,2,3,42,2.268002547
2,1,9,1,2,3,11,,,,,,,,,,,,,,,20,0,0,0,1,1,3,2,,,,,0,0,0,0,1,4,,1,2,1,3,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,3,3,2,3,,3,1,5,3,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,70,30,0,90,0,10,1,2,,,3,,,,3,,1,5,5,,,9999998,99,0,0,700,300,0,0,80,0,1080,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,10,,,,,,,,,,2,,2,,3,3,3,2,3,42,2.268002547
3,2,9,2,2,2,11,,,,,,,,,,,,,,,180,18,0,6,2,2,,,1,1,3,,1,1,0,0,1,1,1,1,2,2,2,3,1,2,2,1,1,2,2,2,2,3,1,1,1,1,2,2,2,1,3,,1,1,5,3,2,1,3,1,1,1,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,100,0,0,80,20,0,2,,,,2,,,,2,,1,5,5,,,9999998,6,11317,3232,6800,600,1600,1900,1300,0,26749,999,999,999,999,999,999,999,999,0,0,0,0,0,0,,,,,,,9,4,8,1,2,6,,,,,,,,1,5,2,,3,3,3,3,3,42,1.273550064
4,1,9,1,2,6,12,,,,,,,,,,,,,,,14,7,0,1,2,2,,,1,1,2,,1,1,0,0,2,3,,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,,1,1,4,1,1,3,3,2,1,1,1,3,5,5,3,3,3,4,4,4,5,5,5,5,4,5,5,5,4,5,4,5,4,4,3,5,5,4,4,1,100,0,0,0,100,0,2,,,,3,,,,3,,1,3,3,,,6590,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,43,6,40,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,,,1,3,,,,,,,,,2,,2,,4,4,4,4,1,42,2.268002547
5,2,9,3,3,1,10,,,,,,,,,2,,,,,,10,1,0,2,1,1,5,1,,,,,1,0,1,0,2,1,1,3,2,2,3,3,2,1,3,2,1,3,3,2,1,2,1,1,1,1,1,2,1,1,3,,3,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,100,0,0,100,0,0,1,2,,,2,,,,2,,1,5,5,,,50000,,2159,440,106,3,310,4,0,0,3022,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,4,7,,,,,,,,,2,,2,,4,3,4,3,1,41,0.687529472
6,4,9,5,3,6,3,4,8,,,,,,,,,,,,,400,30,80,20,2,1,12,2,,,,,5,1,5,1,2,2,1,30,1,1,2,2,2,2,3,1,1,2,2,2,3,3,1,1,1,3,2,2,3,3,3,,1,1,4,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,3,3,3,2,2,3,4,3,2,1,95,5,5,90,5,0,1,2,,,1,1,1,3,1,3,1,4,4,,,474196,,131261,224469,43002,4692,5332,7352,0,7684,423792,999,999,999,999,999,999,999,999,2,1,0,0,0,0,2,0,0,0,0,0,4,1,5,2,7,,,,,,,,,1,2,1,4,4,3,4,2,2,41,0.571942888
7,1,1,1,3,4,5,4,5,,,,,,,,,,,,,50,30,20,2,2,1,1,2,,,,,1,0,1,0,2,1,1,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,,2,1,5,1,2,1,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,100,0,0,100,0,0,1,2,,,1,2,,,2,,1,5,5,,,16734,,5791,1172,1709,0,0,0,0,0,8672,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,6,,,,,,,,,,1,5,1,5,4,4,4,4,1,41,1.274212377
8,1,1,1,3,3,1,3,,,,,,,,,,,,,,25,18,15,0,2,1,2,2,,,,,1,0,1,0,2,2,1,2,2,2,3,1,1,1,3,2,1,3,3,1,3,3,1,1,1,1,1,1,1,3,3,,1,1,5,1,3,4,3,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,100,0,0,70,30,0,2,,,,3,,,,1,4,1,5,5,,,11210,,2305,2363,696,284,95,93,0,0,5836,999,999,999,999,999,999,999,999,0,0,0,0,0,0,2,0,0,0,0,0,5,4,9,11,,,,,,,,,,2,,2,,4,4,4,4,4,41,1.274212377
9,2,1,2,2,2,1,1,,,,,,,,,,,,,,20,5,0,0,2,1,1,2,,,,,1,0,1,0,2,2,1,6,2,2,2,2,2,1,3,2,1,2,2,2,2,2,1,1,3,3,3,4,3,4,3,,1,1,5,3,3,3,4,2,1,1,4,4,4,4,5,5,5,5,5,5,5,5,5,3,4,5,4,5,5,4,5,4,5,5,5,4,3,4,3,2,,,,,,,1,2,,,2,,,,1,3,1,4,4,,,44853,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,44910,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,3,6,,1,9,,,,,,,,,2,,1,4,4,2,4,1,2,41,0.880355226
10,4,9,5,3,4,3,4,,,,,,,,,,,,,,350,150,35,20,2,1,5,2,,,,,4,1,1,1,1,1,1,70,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,3,3,,1,1,5,4,3,3,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,1,90,10,0,50,50,0,1,1,25,4,1,1,50,3,1,3,1,5,5,,,9999998,9,125900,112400,39700,6100,7100,8400,0,1540,301140,999,999,999,999,999,999,999,999,0,0,0,0,0,0,2,0,0,0,0,0,1,5,4,1,,,,,,,,,,1,5,1,5,4,4,4,4,3,41,0.571942888
